,Problem,Length,No-queries,Cost-before,Cost-after,Time
0,blocks-instance-1,7,5,4,6,4.762973
1,blocks-instance-2,3,2,8,8,2.628713
2,blocks-instance-3,7,6,6,6,4.832881
3,blocks-instance-4,4,4,10,12,3.458604
4,blocks-instance-5,8,8,8,10,5.749649
5,driverlog-instance-1,21,0,6,8,1.045225
6,driverlog-instance-2,24,0,17,9,1.251533
7,driverlog-instance-3,26,0,12,12,1.071558
8,driverlog-instance-4,23,0,13,13,1.167377
9,driverlog-instance-5,23,19,16,18,20.577399
10,elevator-instance-1,25,0,7,11,0.925133
11,elevator-instance-2,24,0,8,11,0.865792
12,elevator-instance-3,25,9,7,11,11.756972
13,elevator-instance-4,25,0,8,10,0.967610
14,elevator-instance-5,24,2,7,10,9.947764
15,logistics-instance-1,12,12,14,20,8.521783
16,logistics-instance-2,13,0,15,13,0.997715
17,logistics-instance-3,13,0,10,16,0.991006
18,logistics-instance-4,12,12,25,27,8.997167
19,logistics-instance-5,12,12,17,17,8.441658
20,rover-instance-1,46,0,7,10,1.383241
21,rover-instance-2,42,0,5,8,1.325645
22,rover-instance-3,55,0,7,11,1.404904
23,rover-instance-4,55,46,5,8,38.191944
24,rover-instance-5,69,0,19,22,6.804775

